country,province,city,updatedAt,stats,coordinates
US,South Carolina,Abbeville,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '34.22333378', 'longitude': '-82.46170658'}"
US,Louisiana,Acadia,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '30.295064899999996', 'longitude': '-92.41419698'}"
US,Virginia,Accomack,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.76707161', 'longitude': '-75.63234615'}"
US,Idaho,Ada,2020-03-23 23:19:34,"{'confirmed': '13', 'deaths': '0', 'recovered': '0'}","{'latitude': '43.4526575', 'longitude': '-116.24155159999998'}"
US,Iowa,Adair,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '41.33075609', 'longitude': '-94.47105874'}"
US,Kentucky,Adair,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.10459774', 'longitude': '-85.28129668'}"
US,Missouri,Adair,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '40.19058551', 'longitude': '-92.60078167'}"
US,Oklahoma,Adair,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '35.88494195', 'longitude': '-94.65859267'}"
US,Colorado,Adams,2020-03-23 23:19:34,"{'confirmed': '18', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.87432092', 'longitude': '-104.3362578'}"
US,Idaho,Adams,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '44.89333571', 'longitude': '-116.4545247'}"
US,Illinois,Adams,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.98815591', 'longitude': '-91.18786813'}"
US,Indiana,Adams,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '40.7457653', 'longitude': '-84.93671406'}"
US,Iowa,Adams,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '41.02903567', 'longitude': '-94.69932645'}"
US,Mississippi,Adams,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '31.47669768', 'longitude': '-91.35326037'}"
US,Nebraska,Adams,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '40.52449420000001', 'longitude': '-98.50117804'}"
US,North Dakota,Adams,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.09686891', 'longitude': '-102.5285397'}"
US,Ohio,Adams,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.84541072', 'longitude': '-83.4718964'}"
US,Pennsylvania,Adams,2020-03-23 23:19:34,"{'confirmed': '6', 'deaths': '0', 'recovered': '0'}","{'latitude': '39.87140411', 'longitude': '-77.21610347'}"
US,Washington,Adams,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.98299757', 'longitude': '-118.56017340000001'}"
US,Wisconsin,Adams,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '43.96974651', 'longitude': '-89.76782777'}"
US,Vermont,Addison,2020-03-23 23:19:34,"{'confirmed': '6', 'deaths': '0', 'recovered': '0'}","{'latitude': '44.03217337', 'longitude': '-73.14130877'}"
US,South Carolina,Aiken,2020-03-23 23:19:34,"{'confirmed': '1', 'deaths': '0', 'recovered': '0'}","{'latitude': '33.54338026', 'longitude': '-81.63645384'}"
US,Minnesota,Aitkin,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '46.60962049', 'longitude': '-93.41168259999999'}"
US,Florida,Alachua,2020-03-23 23:19:34,"{'confirmed': '36', 'deaths': '0', 'recovered': '0'}","{'latitude': '29.67866525', 'longitude': '-82.35928158'}"
US,North Carolina,Alamance,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '36.0434701', 'longitude': '-79.39976137'}"
US,California,Alameda,2020-03-23 23:19:34,"{'confirmed': '118', 'deaths': '1', 'recovered': '0'}","{'latitude': '37.64629437', 'longitude': '-121.8929271'}"
US,Colorado,Alamosa,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '37.57250606', 'longitude': '-105.7885451'}"
US,New York,Albany,2020-03-23 23:19:34,"{'confirmed': '127', 'deaths': '0', 'recovered': '0'}","{'latitude': '42.60060306', 'longitude': '-73.97723916'}"
US,Wyoming,Albany,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '41.65498705', 'longitude': '-105.72354150000001'}"
US,Virginia,Albemarle,2020-03-23 23:19:34,"{'confirmed': '2', 'deaths': '0', 'recovered': '0'}","{'latitude': '38.02080697', 'longitude': '-78.55481085'}"
US,Michigan,Alcona,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '44.6846864', 'longitude': '-83.59507875'}"
US,Mississippi,Alcorn,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '34.88084463', 'longitude': '-88.57996173'}"
US,Alaska,Aleutians East,2020-03-23 23:19:34,"{'confirmed': '0', 'deaths': '0', 'recovered': '0'}","{'latitude': '55.32222414', 'longitude': '-161.9722021'}"
